# Logfile created on 2026-03-24 15:52:29 +0100 by logger.rb/v1.4.3
2026-03-24 15:52:29 +0100: Memory Usage (428508K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/Layouts/555LayoutFinal.gds
2026-03-24 15:52:29 +0100: Memory Usage (428508K) : Ruby Version for klayout: 3.0.2
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : Loading database to memory is complete.
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/Layouts/drc_run_555/555LayoutFinal_555_main.lyrdb
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : Evaluate switches.
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : tables selected: main
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : deep mode is enabled.
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : FEOL enabled: true
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : BEOL enabled: true
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : OFFGRID enabled: true
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : ANGLE enabled: true
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : PIN enabled: true
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : FORBIDDEN enabled: true
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : RECOMMENDED enabled: true
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : PreCheck DRC enabled: false
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : CONNECTIVITY_RULES enabled: true.
2026-03-24 15:52:29 +0100: Memory Usage (429788K) : Read in polygons from layers.
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_drw has 137 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_mask has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_iopc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : activ_noqrc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : biwind_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : biwind_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430684K) : pemwind_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430940K) : gatpoly_drw has 159 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430940K) : gatpoly_pin has 19 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430940K) : gatpoly_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430940K) : gatpoly_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (430940K) : gatpoly_opc has 0 polygons
